2,234,236,332
29,16,286,198
26,273,623,433
19,144,906,225
29,353,1110,228
24,34,259,440
28,6,135,187
31,220,409,346
27,4,1380,57
19,239,709,102
23,174,851,479
19,116,1312,6
14,206,1112,355
16,87,954,10
11,151,1070,229
10,74,241,47
2,356,339,112
4,232,806,79
29,16,1144,35
5,204,1430,462
34,290,728,359
32,203,955,194
9,266,115,452
3,158,774,216
3,181,725,357
3,187,511,479
20,359,747,338
21,65,935,288
23,148,272,357
5,69,984,285
5,124,559,412
2,228,770,110
26,339,418,59
31,314,46,376
23,213,1164,417
7,235,923,114
31,87,363,399
18,98,663,176
37,43,135,229
37,243,499,404
11,177,586,118
15,37,998,46
2,188,912,337
6,179,1425,70
20,241,172,149
2,111,876,407
4,247,1210,167
8,128,1175,402
23,61,301,230
2,289,1218,398
8,205,532,268
29,355,570,407
1,176,458,358
26,182,529,133
13,358,127,51
10,140,1083,458
1,217,10,38
4,166,1242,486
31,276,944,262
2,313,922,287
6,18,1064,89
37,189,796,125
32,298,292,211
36,216,838,163
13,228,527,129
19,150,1392,37
34,50,1112,159
23,309,1161,336
13,4,175,468
5,53,273,383
5,204,970,44
2,11,1067,155
32,343,261,310
6,226,163,287
12,93,1086,323
4,147,1214,250
15,202,188,84
8,227,601,268
28,38,172,3
4,318,171,245
16,185,198,48
3,87,711,499
28,136,801,398
11,106,549,247
35,233,756,81
2,31,1264,362
11,44,658,66
7,17,1254,357
4,306,874,164
25,261,1405,387
36,192,246,127
14,245,731,202
32,105,943,153
7,164,327,76
3,173,206,260
26,12,826,348
8,77,913,29
18,203,413,416
32,218,1410,140
4,143,354,422
7,161,485,188
33,358,1035,317
9,309,361,416
35,248,404,283
30,250,1104,209
31,198,1061,426
16,318,630,456
21,106,738,41
4,289,538,357
35,273,970,466
13,146,239,58
11,82,16,277
1,292,712,343
6,351,855,470
29,115,1344,438
23,158,449,23
1,302,689,287
7,69,86,446
19,223,1379,46
15,200,141,269
32,37,784,10
27,267,123,74
34,116,104,237
19,254,344,149
34,339,958,379
35,198,576,479
2,364,1310,75
21,224,974,74
33,280,79,240
11,277,911,173
6,237,91,459
27,139,1256,275
20,37,471,121
34,296,271,298
3,207,887,379
35,19,1277,127
13,270,838,244
25,13,537,101
15,40,311,239
23,6,957,431
15,34,226,352
29,44,73,294
20,277,146,490
22,158,529,305
4,52,1183,250
