1,2016,Jan,01/01/2016
2,2016,Jan,02/01/2016
3,2016,Jan,03/01/2016
4,2016,Jan,04/01/2016
5,2016,Jan,05/01/2016
6,2016,Jan,06/01/2016
7,2016,Jan,07/01/2016
8,2016,Jan,08/01/2016
9,2016,Jan,09/01/2016
10,2016,Jan,10/01/2016
11,2016,Jan,11/01/2016
12,2016,Jan,12/01/2016
13,2016,Jan,13/01/2016
14,2016,Jan,14/01/2016
15,2016,Jan,15/01/2016
16,2016,Jan,16/01/2016
17,2016,Jan,17/01/2016
18,2016,Jan,18/01/2016
19,2016,Jan,19/01/2016
20,2016,Jan,20/01/2016
21,2016,Jan,21/01/2016
22,2016,Jan,22/01/2016
23,2016,Jan,23/01/2016
24,2016,Jan,24/01/2016
25,2016,Jan,25/01/2016
26,2016,Jan,26/01/2016
27,2016,Jan,27/01/2016
28,2016,Jan,28/01/2016
29,2016,Jan,29/01/2016
30,2016,Jan,30/01/2016
31,2016,Jan,31/01/2016
32,2016,Feb,01/02/2016
33,2016,Feb,02/02/2016
34,2016,Feb,03/02/2016
35,2016,Feb,04/02/2016
36,2016,Feb,05/02/2016
37,2016,Feb,06/02/2016
38,2016,Feb,07/02/2016
39,2016,Feb,08/02/2016
40,2016,Feb,09/02/2016
41,2016,Feb,10/02/2016
42,2016,Feb,11/02/2016
43,2016,Feb,12/02/2016
44,2016,Feb,13/02/2016
45,2016,Feb,14/02/2016
46,2016,Feb,15/02/2016
47,2016,Feb,16/02/2016
48,2016,Feb,17/02/2016
49,2016,Feb,18/02/2016
50,2016,Feb,19/02/2016
51,2016,Feb,20/02/2016
52,2016,Feb,21/02/2016
53,2016,Feb,22/02/2016
54,2016,Feb,23/02/2016
55,2016,Feb,24/02/2016
56,2016,Feb,25/02/2016
57,2016,Feb,26/02/2016
58,2016,Feb,27/02/2016
59,2016,Feb,28/02/2016
60,2016,Feb,29/02/2016
61,2016,Mar,01/03/2016
62,2016,Mar,02/03/2016
63,2016,Mar,03/03/2016
64,2016,Mar,04/03/2016
65,2016,Mar,05/03/2016
66,2016,Mar,06/03/2016
67,2016,Mar,07/03/2016
68,2016,Mar,08/03/2016
69,2016,Mar,09/03/2016
70,2016,Mar,10/03/2016
71,2016,Mar,11/03/2016
72,2016,Mar,12/03/2016
73,2016,Mar,13/03/2016
74,2016,Mar,14/03/2016
75,2016,Mar,15/03/2016
76,2016,Mar,16/03/2016
77,2016,Mar,17/03/2016
78,2016,Mar,18/03/2016
79,2016,Mar,19/03/2016
80,2016,Mar,20/03/2016
81,2016,Mar,21/03/2016
82,2016,Mar,22/03/2016
83,2016,Mar,23/03/2016
84,2016,Mar,24/03/2016
85,2016,Mar,25/03/2016
86,2016,Mar,26/03/2016
87,2016,Mar,27/03/2016
88,2016,Mar,28/03/2016
89,2016,Mar,29/03/2016
90,2016,Mar,30/03/2016
91,2016,Mar,31/03/2016
92,2016,Apr,01/04/2016
93,2016,Apr,02/04/2016
94,2016,Apr,03/04/2016
95,2016,Apr,04/04/2016
